id,alcohol_consumption,location_class,workstatus,score,divorce,widowed,education,residence_region,babies,preteen,teens,income,engagement_religion,x1,tvhours,gender,response
citzen10034,Never,C,working fulltime,64,no,no,18,middle atlantic,0,1,0,$25000 or more,never,2,1,1,Pretty Happy
citzen10036,Multiple times in a week,G,"unempl, laid off",36,,,12,e. nor. central,0,0,1,$25000 or more,every week,3,,0,Not Happy
citzen10037,Occassional,C,temp not working,43,,,14,new england,0,0,0,$25000 or more,once a month,2,3,1,Very Happy
citzen1004,Never,G,working parttime,47,no,no,12,south atlantic,0,0,0,$25000 or more,sevrl times a yr,1,3,1,Very Happy
citzen10042,Occassional,B,keeping house,36,yes,no,10,south atlantic,0,0,0,lt $1000,never,2,10,1,Pretty Happy
citzen10043,Once a week,C,working fulltime,46,,,14,middle atlantic,1,0,0,,2-3x a month,1,,1,Very Happy
citzen10045,Once a week,D,retired,40,no,,12,w. nor. central,0,0,0,$20000 - 24999,,3,,1,Very Happy
citzen10048,Once a week,B,working parttime,43,no,no,16,foreign,0,1,1,$25000 or more,2-3x a month,1,,1,Very Happy
citzen10051,Once a month,G,"unempl, laid off",66,,no,12,e. nor. central,0,0,0,$25000 or more,lt once a year,1,,1,Very Happy
citzen10056,Occassional,D,working fulltime,40,,no,12,e. sou. central,0,0,0,$25000 or more,sevrl times a yr,3,,1,Very Happy
citzen10059,Rarely,,working fulltime,46,no,no,15,e. nor. central,1,0,1,$25000 or more,once a month,1,,1,Very Happy
citzen10060,Rarely,A,keeping house,29,no,no,12,middle atlantic,0,3,0,$25000 or more,every week,3,2,1,Pretty Happy
citzen10066,2 - 3 times a month,E,working fulltime,44,,,16,w. nor. central,0,0,0,$20000 - 24999,sevrl times a yr,1,1,0,Very Happy
citzen10070,2 - 3 times a month,A,retired,66,no,no,12,south atlantic,0,0,0,$25000 or more,more thn once wk,2,2,1,Very Happy
citzen10071,Once a month,A,working parttime,46,,no,12,mountain,0,1,2,$25000 or more,2-3x a month,2,2,1,Pretty Happy
citzen10075,Occassional,B,working fulltime,64,no,no,18,w. nor. central,1,1,0,$25000 or more,never,1,,0,Very Happy
citzen1008,Once a week,G,retired,51,,no,16,middle atlantic,0,0,0,$15000 - 19999,never,2,2,1,Pretty Happy
citzen10086,Once a week,B,working parttime,23,no,,12,middle atlantic,0,0,0,$10000 - 14999,every week,1,,1,Very Happy
citzen10087,,E,temp not working,42,,,14,e. nor. central,0,0,0,$25000 or more,once a year,3,5,0,Not Happy
citzen10088,Once a month,B,working fulltime,42,no,no,16,mountain,0,0,0,$25000 or more,every week,1,,0,Pretty Happy
citzen10089,Once a month,E,working fulltime,51,,no,12,w. nor. central,0,0,1,$25000 or more,never,3,,0,Pretty Happy
citzen10090,2 - 3 times a month,D,working fulltime,49,no,no,,w. nor. central,0,2,0,$25000 or more,once a month,3,,0,Pretty Happy
citzen10092,Once a month,B,working fulltime,66,no,no,16,foreign,0,0,0,$25000 or more,lt once a year,3,,1,Pretty Happy
citzen10094,Multiple times in a week,A,keeping house,30,,,12,e. nor. central,1,0,2,$25000 or more,once a year,2,,0,Not Happy
citzen10096,Never,G,working fulltime,36,no,no,14,w. nor. central,1,1,0,$25000 or more,sevrl times a yr,3,,1,Very Happy
citzen1010,Once a week,A,working parttime,25,,no,12,pacific,0,0,0,$5000 to 5999,2-3x a month,1,,1,Pretty Happy
citzen10102,2 - 3 times a month,C,retired,73,yes,no,12,e. nor. central,0,0,0,$25000 or more,never,3,3,0,Very Happy
citzen10103,Never,A,working parttime,30,,,13,south atlantic,0,0,0,$20000 - 24999,2-3x a month,3,3,1,Pretty Happy
citzen10106,Rarely,A,working parttime,64,yes,no,13,e. sou. central,0,2,0,$25000 or more,nrly every week,2,1,1,Very Happy
citzen10107,Multiple times in a week,C,working fulltime,51,,,16,w. nor. central,0,0,0,$6000 to 6999,once a year,1,10,0,Not Happy
citzen10109,Rarely,F,retired,40,no,no,12,new england,0,0,0,$25000 or more,more thn once wk,3,5,1,Pretty Happy
citzen10110,2 - 3 times a month,,working fulltime,51,yes,no,15,south atlantic,0,0,0,$20000 - 24999,never,1,,1,Very Happy
citzen10112,Never,C,keeping house,74,no,no,18,mountain,0,0,0,$25000 or more,once a year,2,2,1,Pretty Happy
citzen10114,Occassional,E,temp not working,45,yes,no,16,middle atlantic,0,0,0,$25000 or more,once a year,3,3,0,Very Happy
citzen10115,Once a month,C,working fulltime,50,,,12,e. sou. central,0,0,0,,more thn once wk,3,2,0,Pretty Happy
citzen10117,,B,working fulltime,22,,,13,middle atlantic,0,2,1,$10000 - 14999,nrly every week,1,2,1,Not Happy
citzen10119,2 - 3 times a month,C,working fulltime,61,no,no,17,w. sou. central,0,0,0,$20000 - 24999,sevrl times a yr,2,1,0,Very Happy
citzen1012,Occassional,F,working fulltime,64,no,no,18,foreign,0,0,0,$25000 or more,once a month,1,0,1,Very Happy
citzen10120,Multiple times in a week,G,"unempl, laid off",30,,no,12,pacific,0,0,0,$6000 to 6999,sevrl times a yr,2,6,0,Not Happy
citzen10121,2 - 3 times a month,A,working fulltime,28,,no,13,e. nor. central,0,0,1,lt $1000,more thn once wk,1,,1,Pretty Happy
citzen10122,Multiple times in a week,B,retired,47,no,,12,new england,0,0,0,$15000 - 19999,more thn once wk,3,,0,Not Happy
citzen10123,Once a week,A,working fulltime,33,,yes,12,mountain,0,0,0,$20000 - 24999,never,1,8,1,Very Happy
citzen10128,Never,A,working fulltime,48,,no,12,middle atlantic,0,2,0,$20000 - 24999,once a month,1,2,1,Pretty Happy
citzen1013,Rarely,E,working fulltime,49,no,no,16,south atlantic,0,2,0,$25000 or more,every week,1,1,0,Pretty Happy
citzen10132,2 - 3 times a month,D,retired,45,,no,13,e. nor. central,0,0,0,$10000 - 14999,never,2,7,0,Pretty Happy
citzen10133,Multiple times in a week,D,working fulltime,49,,,12,middle atlantic,0,0,0,$20000 - 24999,sevrl times a yr,1,2,0,Not Happy
citzen10134,Never,D,working fulltime,35,no,no,14,e. nor. central,1,1,0,$25000 or more,sevrl times a yr,2,1,0,Pretty Happy
citzen10137,2 - 3 times a month,D,keeping house,47,no,,16,w. sou. central,0,0,0,$25000 or more,every week,3,1,0,Pretty Happy
citzen10140,Once a week,C,working fulltime,51,yes,,14,w. nor. central,0,0,0,$25000 or more,never,2,2,1,Pretty Happy
citzen10142,Rarely,B,working fulltime,71,yes,no,16,middle atlantic,2,2,1,$25000 or more,once a year,2,2,0,Very Happy
citzen10143,2 - 3 times a month,A,working fulltime,69,no,no,16,pacific,0,1,1,$25000 or more,more thn once wk,1,0,0,Very Happy
citzen10146,Once a month,G,working fulltime,23,no,no,16,middle atlantic,0,0,0,$25000 or more,lt once a year,1,1,1,Very Happy
citzen10151,2 - 3 times a month,A,retired,51,no,no,12,middle atlantic,0,0,0,,lt once a year,3,,0,Very Happy
citzen10154,Once a month,B,working fulltime,44,,,14,mountain,0,0,0,$25000 or more,sevrl times a yr,1,,0,Very Happy
citzen10156,Never,F,working fulltime,34,,no,11,w. sou. central,0,0,0,$25000 or more,2-3x a month,1,,0,Pretty Happy
citzen10157,Rarely,,retired,23,,no,7,w. sou. central,0,0,0,$6000 to 6999,every week,1,,1,Very Happy
citzen10158,Rarely,C,retired,46,no,no,12,middle atlantic,0,0,0,,once a year,2,1,1,Very Happy
citzen10159,Occassional,B,keeping house,35,,,12,pacific,1,0,0,$25000 or more,never,1,,1,Pretty Happy
citzen1016,Never,A,working parttime,33,,no,13,pacific,0,1,1,$20000 - 24999,once a year,1,,1,Pretty Happy
citzen10161,,G,retired,30,yes,,13,south atlantic,0,0,0,$25000 or more,once a month,3,,1,Not Happy
citzen10162,Once a month,C,working fulltime,75,yes,no,19,w. nor. central,0,0,0,$25000 or more,once a month,3,2,0,Pretty Happy
citzen10163,Never,B,working parttime,31,,,13,middle atlantic,0,0,0,,never,1,3,0,Pretty Happy
citzen10167,Never,A,working parttime,66,no,no,15,middle atlantic,0,2,1,$25000 or more,more thn once wk,1,4,1,Very Happy
citzen10168,2 - 3 times a month,D,working fulltime,51,no,no,12,south atlantic,1,1,0,$25000 or more,lt once a year,3,,0,Very Happy
citzen1017,Occassional,F,working fulltime,30,no,no,12,e. nor. central,0,0,1,$25000 or more,every week,1,,1,Pretty Happy
citzen10171,Rarely,D,working fulltime,22,,no,13,south atlantic,0,0,0,$25000 or more,sevrl times a yr,3,4,0,Pretty Happy
citzen10172,,G,working fulltime,21,,,14,south atlantic,0,0,0,,every week,1,,0,Not Happy
citzen10174,Once a week,D,working fulltime,22,,no,13,new england,0,0,0,$25000 or more,lt once a year,1,,0,Pretty Happy
citzen10175,Never,B,keeping house,,no,no,12,e. sou. central,2,0,0,$25000 or more,more thn once wk,2,3,1,Very Happy
citzen10180,Never,G,working fulltime,34,,no,12,e. nor. central,0,0,1,$20000 - 24999,once a year,1,3,0,Pretty Happy
citzen10182,2 - 3 times a month,C,retired,42,no,no,12,middle atlantic,0,0,0,$25000 or more,once a year,3,6,0,Pretty Happy
citzen10184,2 - 3 times a month,F,working fulltime,63,,no,14,middle atlantic,0,0,0,$25000 or more,every week,2,,1,Very Happy
citzen10185,Once a week,F,retired,51,no,,12,e. nor. central,0,0,0,$15000 - 19999,more thn once wk,2,2,1,Very Happy
citzen10186,Once a month,A,retired,42,,no,8,south atlantic,0,0,0,lt $1000,every week,1,3,1,Pretty Happy
citzen10187,Never,G,keeping house,,,,4,w. sou. central,0,0,0,$4000 to 4999,nrly every week,1,,1,Pretty Happy
citzen10191,Once a week,B,working fulltime,44,no,no,19,w. sou. central,0,0,2,$25000 or more,sevrl times a yr,1,2,0,Pretty Happy
citzen10192,Rarely,A,working parttime,29,,,15,mountain,0,0,0,$10000 - 14999,sevrl times a yr,1,2,0,Pretty Happy
citzen10193,2 - 3 times a month,F,working parttime,68,no,no,15,w. nor. central,0,0,0,$25000 or more,nrly every week,3,2,1,Very Happy
citzen10194,Rarely,B,working fulltime,51,no,no,17,w. nor. central,1,0,0,$25000 or more,once a month,3,1,0,Pretty Happy
citzen10195,Never,C,working fulltime,46,no,no,13,new england,0,0,1,$25000 or more,lt once a year,3,2,1,Pretty Happy
citzen10196,Rarely,D,working fulltime,66,,,16,e. nor. central,0,0,0,$20000 - 24999,lt once a year,2,0,0,Pretty Happy
citzen10197,Once a month,D,working fulltime,51,,no,14,pacific,0,0,0,$25000 or more,every week,1,,0,Pretty Happy
citzen10198,Once a week,A,working fulltime,32,no,,10,foreign,0,0,0,,2-3x a month,1,1,1,Pretty Happy
citzen102,Never,E,working fulltime,65,,,16,south atlantic,0,0,0,,more thn once wk,2,4,1,Pretty Happy
citzen1020,Once a month,,working fulltime,44,,,12,pacific,0,0,0,$25000 or more,never,1,,0,Pretty Happy
citzen10200,2 - 3 times a month,B,working parttime,51,,,12,middle atlantic,0,0,0,$15000 - 19999,sevrl times a yr,2,2,1,Pretty Happy
citzen10201,Multiple times in a week,C,working parttime,32,,no,11,middle atlantic,0,0,0,$25000 or more,never,1,,0,Not Happy
citzen10202,Never,D,working fulltime,34,,,17,middle atlantic,0,0,0,$7000 to 7999,never,2,2,1,Pretty Happy
citzen10204,Once a week,D,working parttime,64,yes,no,16,pacific,0,2,3,$25000 or more,every week,2,3,1,Very Happy
citzen10207,Rarely,A,working fulltime,64,no,no,15,middle atlantic,0,1,2,$25000 or more,lt once a year,1,2,1,Pretty Happy
citzen10210,Occassional,,working parttime,69,yes,no,13,e. nor. central,0,0,0,$25000 or more,every week,3,,1,Pretty Happy
citzen10211,Occassional,C,retired,36,no,,8,middle atlantic,0,0,0,,never,1,5,1,Not Happy
citzen10217,Once a week,B,working fulltime,46,,no,11,pacific,0,2,2,$25000 or more,lt once a year,2,2,1,Very Happy
citzen10218,Once a month,,working fulltime,40,,no,12,middle atlantic,0,0,0,$25000 or more,2-3x a month,3,2,0,Not Happy
citzen1022,Once a month,A,"unempl, laid off",66,,no,17,middle atlantic,0,0,0,lt $1000,2-3x a month,1,,1,Pretty Happy
citzen10220,Rarely,C,keeping house,17,no,,9,e. nor. central,0,0,0,$6000 to 6999,once a month,1,5,1,Pretty Happy
citzen10221,Rarely,D,keeping house,28,yes,no,9,middle atlantic,0,0,0,$25000 or more,sevrl times a yr,2,4,1,Pretty Happy
citzen10223,Occassional,D,keeping house,45,yes,no,13,pacific,0,0,0,$25000 or more,never,2,4,1,Pretty Happy
citzen10224,Rarely,D,working fulltime,64,,,16,south atlantic,0,0,0,$25000 or more,once a month,2,2,1,Pretty Happy
citzen10225,Once a week,B,working fulltime,30,no,no,12,south atlantic,1,0,0,$25000 or more,once a year,1,,0,Pretty Happy
citzen10227,2 - 3 times a month,G,working parttime,28,,,11,pacific,0,0,0,$20000 - 24999,once a year,1,2,0,Pretty Happy
citzen1023,Never,D,retired,65,no,,15,e. nor. central,0,0,0,$10000 - 14999,every week,2,2,1,Very Happy
citzen10230,Rarely,A,working parttime,29,yes,no,9,w. sou. central,1,0,1,$25000 or more,every week,1,4,1,Pretty Happy
citzen10231,2 - 3 times a month,A,working fulltime,47,no,no,13,mountain,0,0,0,$25000 or more,every week,3,2,1,Pretty Happy
citzen10234,2 - 3 times a month,E,working fulltime,61,,,18,new england,0,0,0,$25000 or more,never,1,3,0,Pretty Happy
citzen10235,Occassional,G,"unempl, laid off",40,,,11,w. sou. central,0,0,1,$20000 - 24999,once a year,1,,0,Pretty Happy
citzen10236,Once a week,D,working fulltime,40,,,10,pacific,0,0,0,$25000 or more,once a year,2,2,0,Pretty Happy
citzen10238,2 - 3 times a month,C,working fulltime,34,no,no,14,pacific,0,0,0,$25000 or more,once a month,3,2,0,Very Happy
citzen10239,Once a month,D,working fulltime,34,no,no,15,new england,0,0,0,$25000 or more,lt once a year,3,,1,Very Happy
citzen1024,Rarely,A,working parttime,51,,no,14,pacific,0,0,0,$25000 or more,once a month,3,,1,Pretty Happy
citzen10240,,C,working fulltime,36,no,no,14,middle atlantic,1,0,0,$25000 or more,every week,1,2,1,Very Happy
citzen10242,Once a week,,working parttime,17,yes,no,12,e. nor. central,1,1,0,$25000 or more,never,3,,1,Pretty Happy
citzen10244,Rarely,C,working fulltime,64,no,,20,e. nor. central,0,1,1,$25000 or more,every week,1,1,0,Very Happy
citzen10245,Once a week,,working parttime,54,no,no,20,south atlantic,0,0,0,$25000 or more,every week,1,1,1,Very Happy
citzen10247,2 - 3 times a month,B,working fulltime,30,,,11,pacific,1,0,0,$10000 - 14999,once a year,1,,1,Pretty Happy
citzen1025,Occassional,A,working fulltime,32,yes,,,middle atlantic,0,0,0,$15000 - 19999,once a month,1,,1,Pretty Happy
citzen10253,2 - 3 times a month,D,working fulltime,51,yes,,16,foreign,1,0,0,$25000 or more,once a year,2,2,0,Pretty Happy
citzen10256,Never,F,retired,50,no,yes,14,foreign,0,0,0,$25000 or more,sevrl times a yr,3,,0,Very Happy
citzen10257,2 - 3 times a month,D,working fulltime,65,yes,,18,e. sou. central,0,1,0,$25000 or more,every week,3,1,0,Pretty Happy
citzen10258,2 - 3 times a month,G,working fulltime,23,yes,no,11,south atlantic,0,0,1,$25000 or more,sevrl times a yr,2,3,1,Pretty Happy
citzen10261,Occassional,B,working parttime,32,,,16,middle atlantic,0,0,0,$25000 or more,once a year,1,6,1,Pretty Happy
citzen10266,Once a week,D,retired,51,,no,14,w. nor. central,0,0,0,$10000 - 14999,lt once a year,3,,1,Pretty Happy
citzen10267,Never,D,keeping house,33,no,no,12,e. sou. central,0,0,0,$25000 or more,once a year,3,,1,Pretty Happy
citzen10269,Once a week,C,retired,51,,yes,13,new england,0,0,0,,nrly every week,3,,1,Pretty Happy
citzen10271,Multiple times in a week,,keeping house,35,,,2,pacific,0,0,0,,every week,1,6,1,Not Happy
citzen10277,Multiple times in a week,E,temp not working,47,no,no,15,middle atlantic,0,0,0,$25000 or more,once a year,3,12,0,Not Happy
citzen10278,Occassional,C,working parttime,36,no,no,,w. sou. central,0,0,0,$25000 or more,nrly every week,2,2,1,Very Happy
citzen10280,Once a month,B,retired,35,,no,3,south atlantic,0,0,2,$20000 - 24999,lt once a year,3,,0,Very Happy
citzen10282,Rarely,F,working fulltime,75,yes,no,19,w. sou. central,1,1,0,$25000 or more,sevrl times a yr,3,,1,Very Happy
citzen10287,Occassional,B,working parttime,32,yes,no,13,e. nor. central,0,0,1,$25000 or more,once a year,2,4,1,Pretty Happy
citzen10288,Once a month,A,working fulltime,42,no,no,14,e. nor. central,1,0,0,$20000 - 24999,every week,1,,1,Pretty Happy
citzen10289,Once a month,G,retired,59,no,,14,e. sou. central,0,0,0,$10000 - 14999,lt once a year,1,8,1,Pretty Happy
citzen10291,Rarely,C,keeping house,28,no,,10,e. nor. central,0,0,0,,every week,3,4,1,Pretty Happy
citzen10296,Once a month,D,working fulltime,34,no,no,13,new england,2,0,0,$25000 or more,lt once a year,2,3,0,Pretty Happy
citzen10297,Once a week,E,working fulltime,30,no,no,12,south atlantic,0,0,0,$25000 or more,more thn once wk,3,,0,Very Happy
citzen10298,2 - 3 times a month,A,keeping house,23,no,no,13,middle atlantic,1,1,0,$25000 or more,sevrl times a yr,3,1,1,Very Happy
citzen10299,Once a month,G,working fulltime,35,no,no,12,foreign,2,0,0,$25000 or more,once a month,1,,1,Pretty Happy
citzen1030,Once a month,D,working fulltime,51,,no,12,middle atlantic,2,1,0,lt $1000,once a month,1,,1,Very Happy
citzen10302,Never,C,working parttime,66,no,no,12,e. nor. central,2,0,0,$25000 or more,once a month,1,5,1,Very Happy
citzen10303,Once a month,D,working fulltime,36,no,no,12,e. nor. central,0,0,1,$25000 or more,every week,1,,0,Very Happy
citzen10304,Rarely,B,temp not working,51,no,no,15,foreign,0,3,0,$25000 or more,2-3x a month,1,,0,Pretty Happy
citzen10305,Never,A,working fulltime,62,,,18,middle atlantic,0,0,0,$25000 or more,every week,1,2,1,Pretty Happy
citzen10307,Once a month,A,working fulltime,45,no,no,14,south atlantic,0,0,0,$25000 or more,more thn once wk,3,,1,Pretty Happy
citzen10308,2 - 3 times a month,A,working fulltime,65,yes,no,12,middle atlantic,0,1,0,$25000 or more,more thn once wk,1,3,1,Very Happy
citzen1031,Once a month,E,retired,25,no,,12,w. sou. central,0,0,0,,every week,2,10,1,Very Happy
citzen10310,,G,temp not working,47,no,no,12,pacific,0,1,0,$25000 or more,every week,1,,1,Not Happy
citzen10311,,G,keeping house,46,yes,no,12,middle atlantic,0,0,0,$25000 or more,once a year,1,,1,Not Happy
citzen10312,Once a week,D,working parttime,52,,no,15,w. sou. central,0,0,0,$20000 - 24999,once a month,2,3,1,Pretty Happy
citzen10313,Once a month,B,working fulltime,43,,no,16,mountain,0,0,0,$25000 or more,lt once a year,3,1,1,Very Happy
citzen10317,Rarely,A,keeping house,64,no,no,16,e. sou. central,0,0,1,$25000 or more,more thn once wk,2,1,1,Very Happy
citzen10318,Multiple times in a week,G,working fulltime,36,no,no,14,pacific,0,0,0,$25000 or more,once a year,2,3,0,Pretty Happy
citzen1032,Never,G,working fulltime,75,yes,no,19,middle atlantic,0,2,0,$25000 or more,2-3x a month,1,,0,Pretty Happy
citzen10320,Once a month,E,working parttime,28,no,,9,middle atlantic,0,0,0,$15000 - 19999,lt once a year,2,10,0,Very Happy
citzen10322,Rarely,A,keeping house,44,no,,13,south atlantic,0,0,0,$20000 - 24999,once a year,1,6,1,Very Happy
citzen10327,Never,F,working fulltime,51,no,no,18,foreign,0,0,1,$15000 - 19999,never,1,1,0,Pretty Happy
citzen10331,Once a week,G,retired,33,no,yes,11,south atlantic,0,0,0,$25000 or more,more thn once wk,3,,0,Not Happy
citzen10333,Once a week,B,working fulltime,69,,no,20,mountain,0,0,0,$25000 or more,more thn once wk,3,,0,Pretty Happy
citzen10338,Rarely,B,working fulltime,24,no,no,19,w. sou. central,1,1,1,$25000 or more,2-3x a month,2,4,0,Very Happy
citzen10339,Once a week,,working fulltime,23,,no,12,middle atlantic,0,0,0,$15000 - 19999,never,3,,1,Pretty Happy
citzen1034,Rarely,E,working parttime,60,,no,14,e. sou. central,0,0,0,$5000 to 5999,sevrl times a yr,2,0,0,Pretty Happy
citzen10340,Never,D,working fulltime,36,no,no,13,pacific,1,1,0,$25000 or more,sevrl times a yr,2,2,0,Pretty Happy
citzen10341,Once a week,,working fulltime,48,,,13,south atlantic,0,1,0,lt $1000,sevrl times a yr,2,6,0,Pretty Happy
citzen10342,2 - 3 times a month,B,working fulltime,17,yes,,12,e. nor. central,0,2,0,$20000 - 24999,more thn once wk,1,,1,Not Happy
citzen10343,Never,B,temp not working,25,,,11,w. sou. central,0,0,0,,once a year,2,5,1,Pretty Happy
citzen1035,2 - 3 times a month,C,working fulltime,46,yes,no,13,middle atlantic,0,0,1,$25000 or more,once a month,1,5,1,Pretty Happy
citzen10351,2 - 3 times a month,G,keeping house,51,no,no,13,mountain,2,0,0,$25000 or more,every week,1,1,1,Pretty Happy
citzen10352,Once a week,B,other,34,no,,8,new england,0,0,0,$10000 - 14999,every week,1,2,1,Not Happy
citzen10353,Once a week,A,working fulltime,57,no,no,18,mountain,0,0,0,$25000 or more,never,1,3,0,Pretty Happy
citzen10354,Occassional,A,keeping house,,no,,8,pacific,0,0,1,$25000 or more,every week,2,8,1,Pretty Happy
citzen10355,Rarely,A,retired,36,no,yes,16,e. nor. central,0,0,0,$15000 - 19999,2-3x a month,3,4,1,Pretty Happy
citzen10356,Rarely,D,retired,35,,,9,w. nor. central,0,0,0,$3000 to 3999,never,3,,0,Pretty Happy
citzen10357,Once a week,B,working fulltime,29,,,13,w. nor. central,0,1,0,$15000 - 19999,lt once a year,1,,1,Pretty Happy
citzen10358,2 - 3 times a month,B,working fulltime,51,no,no,13,new england,1,1,0,$25000 or more,every week,2,2,0,Very Happy
citzen10359,Rarely,C,working fulltime,62,no,no,12,new england,2,0,0,,once a year,2,2,0,Pretty Happy
citzen1036,Once a month,E,working fulltime,46,,,16,e. sou. central,0,0,0,$25000 or more,2-3x a month,1,,1,Not Happy
citzen10360,Multiple times in a week,A,working fulltime,51,,no,16,w. nor. central,0,0,0,$25000 or more,once a month,1,,0,Not Happy
citzen10364,Rarely,A,working fulltime,31,no,no,13,w. nor. central,0,0,1,$25000 or more,every week,1,3,1,Pretty Happy
citzen10367,2 - 3 times a month,E,other,22,yes,no,14,w. sou. central,0,0,0,$15000 - 19999,more thn once wk,1,,0,Very Happy
citzen10369,2 - 3 times a month,G,working fulltime,61,yes,no,14,e. sou. central,0,0,0,$25000 or more,lt once a year,3,,1,Pretty Happy
citzen10370,2 - 3 times a month,A,retired,50,yes,,12,w. nor. central,0,0,0,$15000 - 19999,once a month,3,,0,Pretty Happy
citzen10372,2 - 3 times a month,A,working fulltime,33,,no,16,e. nor. central,0,0,0,$25000 or more,sevrl times a yr,2,2,1,Pretty Happy
citzen10373,Once a week,B,working fulltime,43,,,14,mountain,0,0,3,$10000 - 14999,nrly every week,1,1,1,Pretty Happy
citzen10374,Once a month,C,"unempl, laid off",22,,,9,mountain,0,4,1,$10000 - 14999,once a month,3,4,0,Pretty Happy
citzen10376,Once a month,B,working fulltime,29,no,no,12,middle atlantic,0,2,0,$25000 or more,once a month,1,6,1,Very Happy
citzen10377,Never,A,"unempl, laid off",34,,,14,pacific,0,0,0,$10000 - 14999,sevrl times a yr,1,,1,Pretty Happy
citzen10378,Occassional,D,temp not working,66,yes,no,13,e. sou. central,0,0,0,$20000 - 24999,more thn once wk,1,1,1,Very Happy
citzen10379,Multiple times in a week,B,working fulltime,45,yes,no,14,south atlantic,1,1,1,$25000 or more,2-3x a month,1,,0,Not Happy
citzen1038,Never,A,working fulltime,60,,no,15,middle atlantic,0,0,0,$20000 - 24999,every week,3,,1,Pretty Happy
citzen10381,Rarely,B,working fulltime,32,no,no,17,middle atlantic,0,0,0,$25000 or more,once a year,2,1,1,Pretty Happy
citzen10382,,B,working fulltime,31,,,11,new england,0,0,2,$25000 or more,sevrl times a yr,2,1,0,Not Happy
citzen10383,Never,C,retired,47,yes,no,16,south atlantic,0,0,0,$20000 - 24999,more thn once wk,2,2,1,Pretty Happy
citzen10384,Rarely,F,retired,22,,,7,e. sou. central,0,0,0,$5000 to 5999,2-3x a month,1,,1,Very Happy
citzen10385,Once a week,A,working fulltime,30,,,11,e. nor. central,0,0,0,lt $1000,never,1,2,0,Pretty Happy
citzen10389,Once a month,D,working fulltime,55,no,no,18,middle atlantic,,,,$25000 or more,2-3x a month,1,,1,Pretty Happy
citzen1039,Never,D,working fulltime,28,no,,14,e. sou. central,0,0,0,$20000 - 24999,sevrl times a yr,1,,1,Pretty Happy
citzen10390,Occassional,B,working fulltime,47,yes,no,15,w. sou. central,1,0,0,$25000 or more,never,1,,1,Pretty Happy
citzen10391,Once a week,A,working fulltime,48,no,no,14,pacific,1,0,0,$25000 or more,sevrl times a yr,3,,1,Pretty Happy
citzen10394,Once a week,B,working parttime,28,,,12,e. nor. central,0,0,0,$20000 - 24999,never,1,,1,Very Happy
citzen10398,2 - 3 times a month,D,keeping house,,no,,12,w. nor. central,0,0,0,$25000 or more,more thn once wk,2,2,1,Very Happy
